＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
164060091,FUT_TOA3M_290918,,202906,,98.785,,,,,1653,無担保コールO/N物レート
164090091,FUT_TOA3M_291218,,202909,,98.76,,,,,1744,無担保コールO/N物レート
160030011,FUT_MOTH_250313,,202503,,641,641,641.46,,0.4755,3,東証グロース市場250指数
160060011,FUT_MOTH_250612,,202506,,642,642,641.46,,0.8018,94,東証グロース市場250指数
160090011,FUT_MOTH_250911,,202509,,642,642,641.46,,0.8073,185,東証グロース市場250指数
160120011,FUT_MOTH_251211,,202512,,643,643,641.46,,0.7991,276,東証グロース市場250指数
161030011,FUT_MOTH_260312,,202603,,643,643,641.46,,0.7991,367,東証グロース市場250指数
160030078,FUT_TAIX_250318,,202503,,22028,,22071.09,,,8,台湾加権
160040078,FUT_TAIX_250415,,202504,,22032,,22071.09,,,36,台湾加権
160060078,FUT_TAIX_250617,,202506,,22059,,22071.09,,,99,台湾加権
160090078,FUT_TAIX_250916,,202509,,21834,,22071.09,,,190,台湾加権
160120078,FUT_TAIX_251216,,202512,,21884,,22071.09,,,281,台湾加権
160030079,FUT_FT50_250328,,202503,,16465,,16354.91,,,20,FTSE中国50
160040079,FUT_FT50_250428,,202504,,16505,,16354.91,,,50,FTSE中国50
160060079,FUT_FT50_250627,,202506,,16405,,16354.91,,,111,FTSE中国50
160090079,FUT_FT50_250929,,202509,,16390,,16354.91,,,203,FTSE中国50
160030015,FUT_NVI_250311,,202503,,28.35,,29.14,,,1,日経平均VI
160040015,FUT_NVI_250408,,202504,,26.25,,29.14,,,29,日経平均VI
160050015,FUT_NVI_250513,,202505,,27,,29.14,,,64,日経平均VI
160060015,FUT_NVI_250610,,202506,,25.65,,29.14,,,92,日経平均VI
160070015,FUT_NVI_250708,,202507,,25.6,,29.14,,,120,日経平均VI
160080015,FUT_NVI_250812,,202508,,24.85,,29.14,,,155,日経平均VI
160090015,FUT_NVI_250909,,202509,,24.6,,29.14,,,183,日経平均VI
160100015,FUT_NVI_251014,,202510,,24.4,,29.14,,,218,日経平均VI
190270018,CAL_225_250313_10000,CAL,202503,10000,26760,26794,36793.11,1,0.4755,3,日経225
140271018,CAL_225_250313_11000,CAL,202503,11000,25760,25794,36793.11,1,0.4755,3,日経225
190152018,CAL_225_250313_12000,CAL,202503,12000,24765,24794,36793.11,1,0.4755,3,日経225
140273018,CAL_225_250313_13000,CAL,202503,13000,23765,23794,36793.11,1,0.4755,3,日経225
190154018,CAL_225_250313_14000,CAL,202503,14000,22765,22794,36793.11,1,0.4755,3,日経225
140275018,CAL_225_250313_15000,CAL,202503,15000,21765,21794,36793.11,1,0.4755,3,日経225
190156018,CAL_225_250313_16000,CAL,202503,16000,20765,20794,36793.11,1,0.4755,3,日経225
190157018,CAL_225_250313_17000,CAL,202503,17000,19765,19794,36793.11,1,0.4755,3,日経225
140038018,CAL_225_250313_18000,CAL,202503,18000,18765,18794,36793.11,1,0.4755,3,日経225
140039018,CAL_225_250313_19000,CAL,202503,19000,17765,17794,36793.11,1,0.4755,3,日経225
140030018,CAL_225_250313_20000,CAL,202503,20000,16765,16794,36793.11,1,0.4755,3,日経225
140031018,CAL_225_250313_21000,CAL,202503,21000,15765,15794,36793.11,1,0.4755,3,日経225
